"Lorde","Hard Feelings/Loveless"
"Eminem","The Real Slim Shady"
"Kids See Ghosts","Kids See Ghosts"
"Fleet Foxes","Mykonos"
"Flume","╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌"
"Eminem","'Till I Collapse"
"Sam Smith","Stay with Me"
"TOMORROW X TOGETHER","CROWN"
"The Fray","How to Save a Life"
"Dua Lipa","Blow Your Mind (Mwah)"
"Linkin Park","One Step Closer"
"Taylor Swift","Bad Blood"
"Linkin Park","Faint"
"Red Hot Chili Peppers","Dark Necessities"
"Estelle","American Boy"
"Troye Sivan","Lucky Strike"
"Ariana Grande","Successful"
"Ariana Grande","Be Alright"
"Dr. Dre","Still D.R.E."
"Mark Ronson","Uptown Funk"
"Eminem","Lucky You (feat. Joyner Lucas)"
"Lana Del Rey","West Coast"
"Grimes","Genesis"
"Bryan Adams","Summer of '69"
"Kodaline","All I Want"
"Billy Joel","Piano Man"
"Kanye West","Violent Crimes"
"Rosalía","MALAMENTE - Cap.1: Augurio"
"Pink Floyd","Money"
"BROCKHAMPTON","1999 WILDFIRE"
"OutKast","Hey Ya! - Radio Mix / Club Mix"
"The Lumineers","Ho Hey"
"Khalid","Love Lies (with Normani)"
"French Montana","unforgettable"
"Nickelback","How You Remind Me"
"Twenty One Pilots","Morph"
"Flume","Dreamtime"
"Marina","Primadonna"
"Clean Bandit","Symphony (feat. Zara Larsson)"
"Bruno Mars","That's What I Like"
"Ariana Grande","Better Off"
"Paul Simon","You Can Call Me Al"
"Bruno Mars","Finesse (Remix) [feat. Cardi B]"
"Gorillaz","DARE"
"Green Day","Wake Me Up When September Ends"
"Madonna","Like a Prayer"
"Ariana Grande","Pete Davidson"
"Fall Out Boy","Centuries"
"Guns N' Roses","November Rain"
"Playboi Carti","Magnolia"
"Three Days Grace","I Hate Everything About You"
"Tyler, the Creator","Where This Flower Blooms"
"Adele","Hello"
"Justin Bieber","Sorry"
"Marina","How to Be a Heartbreaker"
"Portishead","Glory Box"
"Phoenix","1901"
"Rihanna","Bitch Better Have My Money"
"Lady Gaga","Judas"
"Lana Del Rey","National Anthem"
"Rihanna","Diamonds"
"Zara Larsson","Lush Life"
"Katy Perry","Roar"
"Future","Mask Off"
"Hozier","Talk"
"Rita Ora","Anywhere"
"A$AP Ferg","Plain Jane"
"Alan Walker","Faded"
"Little Simz","OFFENCE"
"Sam Smith","I'm Not the Only One"
"Travi$ Scott","STOP TRYING TO BE GOD"
"The Doors","Break on Through (to the Other Side)"
"The Cardigans","Lovefool"
"Grimes","Kill V. Maim"
"John Legend","All of Me"
"The Fratellis","Chelsea Dagger"
"Daft Punk","Get Lucky (feat. Pharrell Williams)"
"Ariana Grande","Greedy"
"Destiny's Child","Say My Name"
"David Guetta","Better When You're Gone"
"Pedro Capó","Calma - Remix"
"Weezer","Living in L.A."
"Mac DeMarco","My Kind of Woman"
"Natalie Imbruglia","Torn"
"David Bowie","Life On Mars? - 2015 Remastered Version"
"Linkin Park","Crawling"
"Avril Lavigne","Dumb Blonde (feat. Nicki Minaj)"
"Metallica","Master of Puppets"
"Green Day","When I Come Around"
"The xx","Crystalised"
"Kanye West","Dark Fantasy"
"Taylor Swift","End Game"
"Pearl Jam","Black"
"Lorde","Buzzcut Season"
"David Bowie","Rebel Rebel - 2016 Remastered Version"
"Green Day","Good Riddance (Time of Your Life)"
"Frank Ocean","Skyline To"
"Taylor Swift","Gorgeous"
"Radiohead","Reckoner"
"Madonna","Hung Up"
"Bonnie Tyler","Total Eclipse of the Heart"
"Billie Eilish","hostage"
"Arcade Fire","Wake Up"
"21 Savage","monster"
"Ariana Grande","raindrops (an angel cried)"
"The Clash","London Calling - Remastered"
"The Strokes","You Only Live Once"
"Metallica","The Unforgiven"
"Rag'n'Bone Man","Human"
"Maroon 5","This Love"
"In Flames","Voices"
"Avril Lavigne","Sk8er Boi"
"LIL PUMP","Be Like Me (feat. Lil Wayne)"
"The 1975","Chocolate"
"The Japanese House","Maybe You're the Reason"
"Post Malone","Candy Paint"
"Adele","Set Fire to the Rain"
"Empire of the Sun","Walking on a Dream"
"Gwen Stefani","Hollaback Girl"
"My Chemical Romance","Helena (So Long & Goodnight)"
"Carly Rae Jepsen","I Really Like You"
"Tame Impala","'Cause I'm A Man"
"French Montana","No Stylist"
"Post Malone","Stay"
"Little Simz","Selfish"
"Beach House","LEMON GLOW"
"Hozier","Be"
"Radiohead","15 Step"
"The Neighbourhood","Daddy Issues"
"In Flames","I, The Mask"
"Red Velvet","Bad Boy"
"Paramore","Ain't It Fun"
"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)"
"Interpol","Evil"
"Queen","Somebody to Love"
"George Michael","Careless Whisper"
"Kelly Clarkson","Since U Been Gone"
"Massive Attack","Angel"
"Sixpence None the Richer","Kiss Me"
"Robyn","Dancing on My Own"
"Disturbed","Down With the Sickness"
"Frank Ocean","Seigfried"
"Lady Gaga","Perfect Illusion"
"Coldplay","Paradise"
"Denzel Curry","CLOUT COBAIN | CLOUT CO13A1N"
"Radiohead","Jigsaw Falling Into Place"
"LIL PEEP","Save That Shit"
"Counting Crows","Mr. Jones"
"Earl Sweatshirt","Shattered Dreams"
"Incubus","Drive"
"Itzy","달라달라 DALLA DALLA"
"Miley Cyrus","We Can't Stop"
"2 Chainz","Money in the Way"
"Lynyrd Skynyrd","Free Bird"
"MC Livinho","Hoje Eu Vou Parar Na Gaiola"
"Tove Lo","Habits (Stay High)"
"Katy Perry","Dark Horse"
"The Beatles","Let It Be - Remastered 2009"
"Mac DeMarco","Salad Days"
"Two Door Cinema Club","Something Good Can Work"
"Taylor Swift","Getaway Car"
"Frank Ocean","Pyramids"
"Pabllo Vittar","Problema Seu"
"Yeah Yeah Yeahs","Heads Will Roll"
"Pixies","Here Comes Your Man"
"System of a Down","Lonely Day"
"Coolio","Gangsta's Paradise"
"James Blake","Where's the Catch? (feat. André 3000)"
"U2","With Or Without You - remastered"
"Lana Del Rey","Dark Paradise"
"Kansas","Dust in the Wind"
"José González","Heartbeats"
"Radiohead","Nude"
"Kylie Minogue","Can't Get You Out of My Head"
"Logic","1-800-273-8255"
"Taylor Swift","We Are Never Ever Getting Back Together"
"Pabllo Vittar","Disk Me"
"David Guetta","Titanium (feat. Sia)"
"Panic! at the Disco","Say Amen (Saturday Night)"
"Katy Perry","Last Friday Night (T.G.I.F.)"
"Muse","Pressure"
"Bill Withers","Ain't No Sunshine"
"2 Chainz","Threat 2 Society"
"Daughter","Youth"
"fun.","We Are Young (feat. Janelle Monáe)"
"Lorde","Writer In the Dark"
"2 Chainz","Forgiven (feat. Marsha Ambrosius)"
"Halsey","Bad At Love"
"Maggie Rogers","Light On"
"Capital Cities","Safe and Sound"
"A$AP Rocky","L$D"
"The Japanese House","You Seemed so Happy"
"Rihanna","FourFiveSeconds"
"Arcade Fire","Rebellion (Lies)"
"Kanye West","Pt. 2"
"The 1975","Give Yourself A Try"
"BLACKPINK","BOOMBAYAH"
"Rick Astley","Never Gonna Give You Up"
"Vince Staples","Norf Norf"
"Coldplay","Clocks"
"Bruno Mars","24K Magic"
"Awolnation","Sail"
"Linkin Park","Papercut"
"Alien Ant Farm","Smooth Criminal"
"Taylor Swift","Love Story"
"BROCKHAMPTON","BOOGIE"
"Klaxons","Golden Skans"
"Rich The Kid","Splashin"
"BTS","Blood Sweat & Tears"
"Rihanna","Don't Stop the Music"
"BLACKPINK","AS IF IT'S YOUR LAST"
"Frank Ocean","Good Guy"
"Owl City","Fireflies"
"SKI MASK THE SLUMP GOD","Faucet Failure"
"MC Kevin o Chris","Vamos Pra Gaiola"
"Travi$ Scott","NO BYSTANDERS"
"Creedence Clearwater Revival","Bad Moon Rising"
"Kanye West","Real Friends"
"Kaleo","Way Down We Go"
"Band of Horses","The Funeral"
"ScHoolboy Q","X (with 2 Chainz & Saudi)"
"BROCKHAMPTON","GUMMY"
"The Beatles","Hey Jude - Remastered 2015"
"CHUNG HA","Gotta Go"
"Zayn","Dusk Till Dawn - Radio Edit"
"Slipknot","Psychosocial"
"The Proclaimers","I'm Gonna Be (500 Miles)"
"Lauv","There's No Way (feat. Julia Michaels)"
"BLACKPINK","Forever Young"
"Hoobastank","The Reason"
"Kendrick Lamar","PRIDE."
"Ed Sheeran","Happier"
"Cage the Elephant","House Of Glass"
